 
 

LOG  REP SIZE ALARM
LOGT 900    0 .  
SOS  100    7 ** 
SOS  101    7 .  
SOS  104    1 .  
SOS  105    1 .  
SOS  106   11 .  
SOS  107   30 .  
SOS  110    0 ** 
SOS  111   30 .  
SOS  112   15 .  
SOS  120   32 .  
SOS  130    0 ** 
SOS  131    0 .  
SOS  132   40 .  
SOS  400   14 *  
SOS  410   33 .  
SOS  411   96 .  
SOS  412   33 .  
SOS  601   51 .  
SOS  602    4 .  
SOS  603   34 .  
SOS  604    0 *  
SOS  605    0 *  
SOS  701    0 ***
SOS  702   50 ** 
SOS  703    0 .  
SOS  801    0 ***
SOS  802    0 ***
SOS  910    1 ** 
SOS  911    1 ** 
SOS  912    1 ** 
SOS  913    1 ** 
SOS  914    0 .  
SOS  102   31 *  
SOS  103    3 .  
SOS  109   40 .  
SOS  600   42 .  
STOR 600    4 .  
STOR 601   89 .  
STOR 602   89 .  
STOR 603  431 .  
STOR 604   89 .  
STOR 605   89 .  
STOR 606   89 .  
STOR 607   89 .  
IEM  930    7 .  
IEM  940    7 .  
IEM  100  450 .  
BMS  100   54 .  
LOST 101   63 .  
LOST 102   63 .  
LOST 103   63 .  
LOST 104   63 .  
LOST 105   63 .  
LOST 106   63 .  
LOST 107   63 .  
LOST 108   63 .  
LOST 109   63 .  
LOST 110   63 .  
LOST 111   63 .  
LOST 112   63 .  
LOST 113   63 .  
LOST 114   63 .  
LOST 115   63 .  
LOST 116   63 .  
LOST 117   63 .  
IOGA 101   12 .  
IOGA 102   11 .  
IOGA 103   11 .  
IOGA 104   10 .  
IOGA 105   11 .  
IOGA 106   10 .  
IOGA 107   10 .  
IOGA 108   13 .  
IOGA 109   11 .  
IOGA 110    9 .  
IOGA 111   14 .  
IOGA 112   13 .  
IOGA 113   13 .  
IOGA 114   14 .  
IOGA 115   10 .  
IOGA 116   10 .  
IOGA 117   10 .  
IOGA 118   13 .  
CORE 100    8 .  
CORE 101    0 .  
MTCB 100   13 *  
MTCB 101    4 *  
MTCB 102    0 *  
MTCB 103   34 .  
MTCB 104    3 *  
MTCB 106   36 .  
MTCB 107    7 *  
MTCB 109    5 *  
MTCB 110    6 *  
MTCB 111    6 *  
SRC  400    0 .  
SRC  500  270 .  
SRC  510  270 .  
SRC  520   20 .  
SRC  530    0 .  
SRC  610   24 .  
SRC  620   44 .  
SRC  630   22 .  
SRC  640   29 .  
SRC  650   23 .  
SRC  660    2 .  
SRC  661   22 .  
SRC  662    1 .  
SRC  663    2 .  
MSC  900   92 .  
MSC  910   92 .  
MSC  920   92 .  
MSC  200    0 .  
IOD  101    3 .  
IOD  102    3 .  
IOD  103    3 ** 
IOD  104   12 ** 
IOD  105   16 .  
IOD  106    4 .  
IOD  107    9 .  
IOD  108    9 *  
IOD  109   18 *  
IOD  110   22 .  
IOD  111   12 .  
IOD  112   12 *  
IOD  113   21 *  
IOD  114   25 .  
IOD  115    9 .  
IOD  116   14 .  
IOD  117   10 ** 
IOD  118   16 *  
IOD  119   19 *  
IOD  120    7 *  
IOD  121    5 *  
IOD  122    4 .  
IOD  123    3 ** 
IOD  124    4 ** 
IOD  125    4 ** 
IOD  126    2 ** 
IOD  127    2 ** 
IOD  128    7 .  
IOD  129    7 .  
IOD  130   11 .  
IOD  901   30 .  
IOD  610   40 .  
IOD  201    3 .  
IOD  202    3 .  
IOD  203    3 *  
IOD  204   12 ** 
IOD  205   16 .  
IOD  206    9 .  
IOD  207    8 .  
IOD  208    1 *  
IOD  209    8 *  
IOD  210    8 ** 
IOD  211   10 .  
IOD  213   10 .  
IOD  212   10 ** 
IOD  301    7 .  
IOD  302    7 .  
IOD  303    7 *  
IOD  304   16 *  
IOD  305   20 .  
IOD  306   13 .  
IOD  311    8 .  
IOD  308   14 *  
IOD  309    5 .  
IOD  307   14 *  
IOD  310   14 *  
IOD  315   14 .  
IOD  600   26 .  
IOD  214    1 .  
IOD  215    1 .  
IOD  312    6 .  
IOD  313    6 .  
FTU  101   23 .  
FTU  102   29 .  
FTU  103    1 .  
FTU  104    4 .  
FTU  105    1 .  
FTU  106    2 .  
FTU  107    4 .  
FTU  501    3 .  
FTU  502    4 .  
FTU  601   18 .  
FTU  602    6 .  
MTS  101   15 .  
MTS  102   38 .  
MTS  103   61 .  
MTD  101   25 *  
MTD  102   25 .  
MTD  103   27 ** 
DFIL 100   17 *  
DFIL 101    1 *  
DFIL 102   10 .  
DFIL 103    4 *  
DFIL 104    5 *  
DFIL 105    5 *  
DFIL 106    8 *  
DFIL 107    2 *  
DFIL 108    1 *  
DFIL 109    0 *  
DFIL 110   18 *  
DFIL 111    6 *  
DFIL 112    1 *  
DFIL 113    5 *  
DFIL 114    4 .  
DFIL 115    1 *  
DFIL 116   33 *  
DFIL 117    7 *  
DFIL 118    6 *  
DFIL 119    1 *  
DFIL 120    6 *  
DFIL 121    6 *  
DFIL 122    9 *  
DFIL 123    2 *  
DFIL 124    5 *  
DFIL 125    2 *  
DFIL 126    2 *  
DFIL 127    5 *  
DFIL 128    6 *  
DFIL 129   34 *  
DFIL 130    1 *  
DFIL 131   32 *  
DFIL 132    7 *  
DFIL 133    2 *  
DFIL 134    5 *  
DFIL 135    2 *  
DFIL 136    5 *  
DFIL 137    5 *  
DFIL 138    2 *  
DFIL 140    5 *  
DFIL 141    2 .  
DFIL 142    0 *  
DFIL 143    6 .  
DFIL 144    1 .  
DFIL 145    5 *  
DFIL 146    5 *  
DFIL 147    5 *  
DFIL 148   11 .  
DFIL 149    5 .  
DFIL 150    1 .  
DFIL 151    9 .  
DFIL 152   12 *  
DFIL 153    3 *  
DFIL 154    3 *  
DFIL 155    3 *  
DFIL 156   10 *  
DFIL 301    6 .  
DFIL 300    6 .  
DFIL 302   42 .  
DFIL 303   24 .  
DFIL 305    5 *  
DFIL 306   20 *  
DFIL 307    9 *  
DFIL 308    7 .  
DFIL 309    5 *  
DFIL 314   42 *  
DFIL 315    4 .  
DFIL 600   20 *  
DFIL 602   33 .  
DFIL 603   13 .  
DFIL 605   21 .  
DFIL 607    5 *  
DFIL 608    5 *  
DFIL 615    1 *  
DFIL 616   13 .  
DFIL 800    8 .  
DFIL 801   26 *  
DFIL 701   17 *  
DFIL 161    5 *  
DFIL 160    0 *  
DFIL 802   11 .  
DFIL 617    5 *  
DFIL 618    9 *  
DFIL 700   39 .  
DFIL 625    5 *  
DFIL 320   14 ** 
DFIL 621    0 .  
DFIL 324    5 *  
DFIL 624    7 *  
DFIL 317   10 *  
DFIL 157    6 .  
DFIL 609    6 .  
DFIL 610    6 .  
DFIL 611    6 .  
DFIL 139    7 .  
DFIL 316    8 *  
DFIL 323   32 .  
DFIL 321   34 .  
DFIL 322   34 .  
AUD  120    3 .  
AUD  396   15 .  
AUD  395  258 .  
AUD  397   50 .  
AUD  398  338 .  
AUD  399  299 .  
AUD  434   67 .  
AUD  432   34 .  
AUD  433    8 .  
AUD  403   32 .  
AUD  104   12 .  
AUD  529   18 .  
AUD  535   58 .  
AUD  530  108 .  
AUD  531  208 .  
AUD  651  408 .  
AUD  673  342 .  
AUD  783   14 .  
AUD  523   48 .  
AUD  577   42 .  
AUD  578   86 .  
AUD  579  164 .  
AUD  650  344 .  
AUD  549   20 .  
AUD  550   28 .  
AUD  551   50 .  
AUD  554   48 .  
AUD  648  132 .  
AUD  422  326 .  
AUD  515  234 .  
AUD  419   28 .  
AUD  409   30 .  
AUD  412   20 .  
AUD  414   28 .  
AUD  652   18 .  
AUD  101   53 .  
AUD  102   14 .  
AUD  103   30 *  
AUD  110    0 .  
AUD  107    3 .  
AUD  106    3 .  
AUD  105    3 .  
AUD  582   16 .  
AUD  587   20 .  
AUD  786   38 .  
AUD  520   50 .  
AUD  553   66 .  
AUD  559   10 .  
AUD  586  370 .  
AUD  593  370 .  
AUD  108   40 .  
AUD  109    5 .  
AUD  680   20 .  
AUD  510   68 .  
AUD  508    8 .  
AUD  702   12 .  
AUD  424  234 .  
AUD  782    8 .  
AUD  685    8 .  
AUD  568   38 .  
AUD  569   66 .  
AUD  583   48 .  
AUD  564   12 .  
AUD  565   20 .  
AUD  566   30 .  
AUD  567   44 .  
AUD  615   64 .  
AUD  612    8 .  
AUD  613   12 .  
AUD  502   16 .  
AUD  501   20 .  
AUD  545  136 .  
AUD  686   12 .  
AUD  415   44 .  
AUD  517   26 .  
AUD  591  194 .  
AUD  509  240 .  
AUD  503   68 .  
AUD  666  110 .  
AUD  637   30 .  
AUD  638   60 .  
AUD  639   96 .  
AUD  641  174 .  
AUD  547    8 .  
AUD  594   28 .  
AUD  405   38 .  
AUD  525   98 .  
AUD  536   44 .  
AUD  532  194 .  
AUD  411   24 .  
AUD  394   55 *  
AUD  512   24 .  
AUD  689   98 .  
AUD  784  238 .  
AUD  781  150 .  
AUD  681   12 .  
AUD  429   56 .  
AUD  677   32 .  
AUD  513   40 .  
AUD  670   34 .  
AUD  671   24 .  
AUD  683  102 .  
AUD  687    8 .  
AUD  588    8 .  
AUD  678    8 .  
AUD  526   90 .  
AUD  676   46 .  
AUD  684   76 .  
AUD  787   28 .  
AUD  630   34 .  
AUD  631   66 .  
AUD  675  130 .  
AUD  668   12 .  
AUD  646   98 .  
AUD  616   10 .  
AUD  607  306 .  
AUD  605  194 .  
AUD  406  392 .  
AUD  413  328 .  
AUD  524  452 .  
AUD  629   56 .  
AUD  611  194 .  
AUD  518  138 .  
AUD  580   38 .  
AUD  690  130 .  
DDU  201    3 .  
DDU  202   30 .  
DDU  203   30 *  
DDU  204   28 ** 
DDU  205   32 .  
DDU  208    1 *  
DDU  209    5 *  
DDU  212   31 .  
DDU  100   51 .  
DDU  101   57 .  
DDU  210    1 *  
DDU  211    1 ** 
DDU  213    1 .  
DDU  214   54 .  
SOC  300   41 ** 
SOC  301   41 *  
SOC  302   33 *  
SOC  303   33 *  
SOC  304   71 *  
SOC  305   24 *  
SOC  306   29 ** 
SOC  307   37 *  
SOC  308   41 ** 
SOC  310   33 .  
SOC  311   57 ** 
SOC  312   37 *  
SOC  313   37 ** 
SOC  314   33 ** 
SOC  315   37 *  
SOC  316   37 *  
SOC  317   45 *  
SOC  318   37 *  
SOC  319   37 *  
SOC  320   53 *  
SOC  321   41 *  
SOC  322   37 *  
SOC  323    4 *  
SOC  324    4 *  
SOC  325   39 *  
SOC  326   33 *  
SOC  400   22 .  
SOC  401   29 .  
SOC  402   22 .  
SOC  403   16 .  
SOC  404    4 .  
SOC  500   67 .  
SOC  501   67 .  
SOC  502   75 .  
SOC  503   75 .  
SOC  504  125 .  
SOC  505  117 .  
SOC  506   49 .  
SOC  507   63 .  
SOC  508   57 .  
SOC  509   25 .  
SOC  510   53 .  
SOC  511   53 .  
SOC  600   41 .  
SOC  601   41 .  
SOC  604   14 .  
SOC  605   16 .  
SOC  606   45 .  
SOC  607   16 .  
SOC  800   22 .  
SOC  801   45 .  
SOC  802   10 .  
SOC  803   22 .  
PCH  103   34 .  
PCH  104  236 .  
PCH  105   70 .  
PCH  106   91 .  
PCH  107   91 .  
PCH  113   15 .  
PCH  116  175 .  
PCH  314    6 .  
PCH  115  127 .  
PCH  150   45 .  
PCH  350  142 .  
PCH  650  271 .  
PCH  200  188 .  
PCH  201  420 .  
PCH  202    1 *  
PCH  203   82 ** 
PCH  204    5 .  
PCH  100  146 .  
PCH  101  152 .  
PCH  102  158 .  
TUPC 100  240 .  
TUPC 101  240 .  
TUPC 102  240 .  
TUPC 103  240 .  
TPS  100   32 .  
TPS  101   25 .  
TPS  102   28 .  
TPS  103   64 .  
TPS  104   93 .  
TPS  300   50 .  
TPS  600   17 .  
SWCT 101   20 .  
SWCT 102   40 .  
SWCT 103   40 ** 
SWCT 104   40 .  
SWCT 105   60 .  
SWCT 106  150 .  
SWCT 109   20 .  
SWCT 110  150 .  
SWCT 111    0 .  
SWCT 112   20 .  
SWCT 113    0 .  
SWCT 114    0 .  
SWCT 115    4 .  
SWCT 116    8 .  
SWCT 117   80 .  
OM2  117    6 .  
OM2  300   10 .  
OM2  200   35 .  
OM2  650    6 .  
OM2  116   22 .  
OM2  115   26 *  
OM2  113    6 .  
OM2  213    6 .  
DDM  101   31 *  
DDM  102   22 *  
DDM  106   31 *  
DDM  107   31 *  
DDM  108   16 *  
DDM  109   35 *  
DDM  110   25 *  
DDM  100    0 .  
DDM  105    0 .  
DDM  104    0 *  
PRSM 300  149 .  
PRSM 301  131 .  
PRSM 302  157 .  
PRSM 303   82 .  
PRSM 400    0 .  
PRSM 401    0 .  
PRSM 600  131 .  
PRSM 603   27 .  
PRSM 360  204 .  
PRSM 470  900 .  
PRSM 380    0 .  
PRSM 381    0 .  
PRSM 680    0 .  
PRSM 681    0 .  
PRSM 682   27 .  
PRSM 683    0 .  
IOAU 101   13 .  
IOAU 102   14 .  
IOAU 103   18 .  
IOAU 104   24 .  
IOAU 105   25 .  
IOAU 106   44 .  
IOAU 107   40 .  
IOAU 108   17 .  
IOAU 109    3 .  
IOAU 110   24 .  
IOAU 111   26 .  
IOAU 112   33 .  
IOAU 113   72 .  
BOOT 100   77 .  
BOOT 101   77 .  
SIS  100   62 .  
SIS  101   52 .  
SIS  102   78 .  
SIS  103   74 .  
LMSC 600   59 .  
FPRT 102    2 .  
FPRT 103    2 .  
FPRT 104    2 .  
FPRT 105    0 .  
FPRT 106    0 .  
MS   100  975 .  
MS   101  975 ** 
MS   102  975 .  
MS   103  975 ** 
MS   104  975 .  
MS   105   50 .  
MS   208  108 .  
MS   238  108 .  
MS   248  108 .  
MS   260  108 .  
MS   261  108 *  
MS   262  108 .  
MS   263  108 ** 
MS   264  108 .  
